,id,country,continent,date_of_birth,date_of_death,weight,gender,type,habitat
0,ELF0000000,Botswana,Africa,14.09.1996,20.12.2017,3912,female,African,natural
1,ELF0000001,Tanzania,Africa,14.11.1986,28.07.2018,5343,male,African,natural
2,ELF0000002,South Africa,Africa,08.12.2006,,5093,male,African,natural
3,ELF0000003,Kenya,Africa,20.07.2010,,2950,female,African,natural
4,ELF0000004,South Africa,Africa,02.06.1979,04.07.2010,2242,female,African,natural
5,ELF0000005,Botswana,Africa,15.11.1985,,1927,female,African,natural
6,ELF0000006,Namibia,Africa,09.09.1992,23.07.2017,1592,female,African,natural
7,ELF0000007,Tanzania,Africa,23.05.2000,,6604,male,African,natural
8,ELF0000008,South Africa,Africa,06.02.1985,26.03.2011,2151,female,African,natural
9,ELF0000009,Tanzania,Africa,27.10.1977,23.01.2010,2901,female,Asian,natural
10,ELF0000010,Tanzania,Africa,16.12.1991,26.01.2019,3710,female,African,natural
11,ELF0000011,Zimbabwe,Africa,23.12.1995,27.02.2023,5020,male,African,natural
12,ELF0000012,Botswana,Africa,09.01.1970,24.03.2000,2245,female,African,natural
13,ELF0000013,Botswana,Africa,12.06.1987,28.12.2014,2359,female,African,natural
14,ELF0000014,Botswana,Africa,04.06.2006,,1353,female,African,natural
15,ELF0000015,Tanzania,Africa,28.05.2021,,6263,male,African,natural
16,ELF0000016,Botswana,Africa,26.07.2020,,3849,male,African,natural
17,ELF0000017,Botswana,Africa,12.03.2018,,4836,male,African,natural
18,ELF0000018,Tanzania,Africa,15.11.1975,22.06.2001,3377,male,African,natural
19,ELF0000019,Tanzania,Africa,03.09.1977,27.11.2011,4937,male,African,natural
20,ELF0000020,Tanzania,Africa,19.11.2023,,7798,male,African,natural
21,ELF0000021,Botswana,Africa,30.10.2010,,8082,male,African,natural
22,ELF0000022,India,Asia,17.01.1979,01.05.2007,4327,male,Asian,natural
23,ELF0000023,Namibia,Africa,31.08.1998,,3107,female,African,natural
24,ELF0000024,Myanmar,Asia,24.10.1998,,2069,female,Asian,natural
25,ELF0000025,Botswana,Africa,06.02.1980,15.09.2008,4989,female,African,natural
26,ELF0000026,Tanzania,Africa,07.03.1983,01.04.2018,3122,female,African,natural
27,ELF0000027,Tanzania,Africa,23.04.2024,,3565,female,African,natural
28,ELF0000028,Botswana,Africa,21.04.1990,19.01.2023,1881,female,African,natural
29,ELF0000029,Zimbabwe,Africa,02.11.1995,,5093,male,African,natural
30,ELF0000030,Kenya,Africa,27.02.1981,24.10.2013,5537,male,African,natural
31,ELF0000031,South Africa,Africa,06.12.2002,,1968,female,African,natural
32,ELF0000032,Zambia,Africa,07.06.1994,,5426,male,African,natural
33,ELF0000033,Uganda,Africa,26.05.2024,,2855,female,African,natural
34,ELF0000034,Botswana,Africa,10.07.1984,20.09.2017,4561,male,African,natural
35,ELF0000035,Zimbabwe,Africa,15.08.2018,,3173,female,African,natural
36,ELF0000036,Zimbabwe,Africa,24.10.1985,30.03.2011,3348,male,Asian,natural
37,ELF0000037,Zimbabwe,Africa,20.05.1995,,2015,female,African,natural
38,ELF0000038,Tanzania,Africa,25.11.1970,27.01.2000,4743,male,African,natural
39,ELF0000039,Zimbabwe,Africa,02.05.1979,23.06.2007,7170,male,African,zoological garden
40,ELF0000040,Botswana,Africa,19.03.2020,,4021,male,African,natural
41,ELF0000041,Sri Lanka,Asia,02.09.2009,,5255,male,Asian,natural
42,ELF0000042,Tanzania,Africa,03.06.2021,,5458,male,African,natural
43,ELF0000043,Tanzania,Africa,08.11.2009,,840,female,African,natural
44,ELF0000044,Nigeria,Africa,27.06.1976,02.12.2004,4517,male,African,natural
45,ELF0000045,Zimbabwe,Africa,23.02.1996,,4535,male,African,natural
46,ELF0000046,Zimbabwe,Africa,15.09.1993,,884,female,African,natural
47,ELF0000047,Mozambique,Africa,11.02.1989,31.05.2021,2938,female,African,natural
48,ELF0000048,South Africa,Africa,05.08.1991,15.09.2018,5025,male,African,natural
49,ELF0000049,Zimbabwe,Africa,17.11.2009,,1609,female,African,natural
50,ELF0000050,Zimbabwe,Africa,15.10.2005,,2049,female,African,natural
51,ELF0000051,Tanzania,Africa,09.12.2022,,2760,male,African,natural
52,ELF0000052,Sri Lanka,Asia,25.06.1988,21.07.2013,2722,female,Asian,natural
53,ELF0000053,Botswana,Africa,15.06.1979,06.02.2016,5673,male,African,natural
54,ELF0000054,Kenya,Africa,29.10.1982,24.02.2005,1556,female,African,natural
55,ELF0000055,Tanzania,Africa,03.12.1973,03.06.2000,3827,male,African,natural
56,ELF0000056,Botswana,Africa,05.05.1972,11.06.1997,1745,male,African,natural
57,ELF0000057,Zambia,Africa,18.06.1978,01.12.2008,1145,female,African,natural
58,ELF0000058,Gabon,Africa,24.01.2005,,2726,female,African,natural
59,ELF0000059,Botswana,Africa,01.01.2007,,2404,female,African,natural
60,ELF0000060,India,Asia,28.04.1993,23.06.2022,3986,male,African,natural
61,ELF0000061,Kenya,Africa,24.07.2002,,7149,male,African,natural
62,ELF0000062,Botswana,Africa,27.01.1984,19.05.2016,2065,female,African,natural
63,ELF0000063,India,Asia,21.11.2011,,5009,male,African,natural
64,ELF0000064,Tanzania,Africa,10.12.1989,,7244,male,African,natural
65,ELF0000065,Kenya,Africa,25.09.2001,29.04.2021,6787,male,African,natural
66,ELF0000066,South Africa,Africa,19.08.1994,28.11.2021,6757,male,African,natural
67,ELF0000067,Kenya,Africa,13.09.2015,,2121,female,African,natural
68,ELF0000068,Kenya,Africa,03.08.1986,27.04.2022,4393,male,African,natural
69,ELF0000069,Botswana,Africa,17.08.2023,,4373,female,African,natural
70,ELF0000070,Botswana,Africa,18.07.1973,22.09.2002,3857,male,Asian,natural
71,ELF0000071,Zimbabwe,Africa,03.03.2010,,1787,female,Asian,natural
72,ELF0000072,Botswana,Africa,02.06.1985,08.06.2007,3844,female,African,natural
73,ELF0000073,Tanzania,Africa,21.06.1991,,629,female,African,natural
74,ELF0000074,Uganda,Africa,05.06.2007,,2062,female,African,natural
75,ELF0000075,Kenya,Africa,04.06.2003,,2779,male,African,natural
76,ELF0000076,Zimbabwe,Africa,25.01.2020,,3964,female,African,natural
77,ELF0000077,Botswana,Africa,14.05.1999,,9191,male,African,natural
78,ELF0000078,Zimbabwe,Africa,24.03.1977,20.02.2002,1392,female,African,natural
79,ELF0000079,DR Congo,Africa,26.01.1995,28.03.2024,5921,male,African,natural
80,ELF0000080,Tanzania,Africa,28.04.2000,,678,female,African,natural
81,ELF0000081,DR Congo,Africa,07.12.1997,05.11.2022,2089,female,Asian,natural
82,ELF0000082,Botswana,Africa,17.03.1974,19.03.2007,7209,male,African,natural
83,ELF0000083,Botswana,Africa,21.11.2020,,4303,female,African,natural
84,ELF0000084,Uganda,Africa,28.07.2002,,3677,female,African,natural
85,ELF0000085,Zimbabwe,Africa,08.03.1997,30.10.2023,4044,female,African,natural
86,ELF0000086,Zimbabwe,Africa,08.10.1983,10.08.2020,7173,male,African,natural
87,ELF0000087,India,Asia,18.07.1982,08.08.2018,4981,male,Asian,natural
88,ELF0000088,Tanzania,Africa,24.05.2008,,4069,male,African,natural
89,ELF0000089,Tanzania,Africa,12.03.2001,,6734,male,Asian,natural
90,ELF0000090,Namibia,Africa,07.10.2003,,3369,female,African,natural
91,ELF0000091,Botswana,Africa,01.11.1995,,2566,female,African,natural
92,ELF0000092,Botswana,Africa,03.01.1980,05.11.2005,6161,male,Asian,natural
93,ELF0000093,Gabon,Africa,26.07.1986,26.08.2016,5968,male,African,natural
94,ELF0000094,Mozambique,Africa,21.05.1989,12.08.2024,681,male,African,natural
95,ELF0000095,Botswana,Africa,10.11.2007,,2762,male,African,natural
96,ELF0000096,Botswana,Africa,06.06.2001,,2862,female,African,natural
97,ELF0000097,Zimbabwe,Africa,20.03.2005,,2849,female,African,natural
98,ELF0000098,Botswana,Africa,22.12.2000,,6790,male,African,natural
99,ELF0000099,Zimbabwe,Africa,30.05.1999,,5269,male,African,natural
100,ELF0000100,India,Asia,05.07.1975,06.09.1999,2945,female,Asian,natural
101,ELF0000101,Tanzania,Africa,12.06.1985,09.02.2023,3582,female,African,natural
102,ELF0000102,Tanzania,Africa,09.01.1994,17.04.2022,4895,male,African,natural
103,ELF0000103,Tanzania,Africa,15.07.1971,19.06.2011,3526,male,African,natural
104,ELF0000104,Botswana,Africa,27.07.2024,,4426,male,Asian,natural
105,ELF0000105,Kenya,Africa,17.03.2006,,6674,male,African,natural
106,ELF0000106,Tanzania,Africa,19.04.1974,17.09.2014,5923,male,African,natural
107,ELF0000107,Kenya,Africa,21.03.1976,05.08.2016,6275,male,African,natural
108,ELF0000108,Botswana,Africa,25.11.1994,18.02.2023,2033,female,African,natural
109,ELF0000109,Kenya,Africa,05.10.1984,30.05.2016,2032,female,African,natural
110,ELF0000110,Botswana,Africa,09.10.2009,,3064,female,African,natural
111,ELF0000111,Botswana,Africa,05.07.1978,10.07.2020,2951,female,African,natural
112,ELF0000112,Tanzania,Africa,13.03.1998,,2483,male,Asian,natural
113,ELF0000113,Tanzania,Africa,25.02.2002,,1562,female,African,natural
114,ELF0000114,Botswana,Africa,11.06.1982,06.05.2009,4965,male,African,natural
115,ELF0000115,Kenya,Africa,21.01.1983,18.03.2012,2318,male,African,natural
116,ELF0000116,Namibia,Africa,30.06.1985,24.07.2009,4642,male,African,natural
117,ELF0000117,Botswana,Africa,23.06.1973,13.12.2010,3281,female,African,natural
118,ELF0000118,Zimbabwe,Africa,20.02.1992,05.06.2018,2443,female,African,zoological garden
119,ELF0000119,Botswana,Africa,12.05.1988,20.12.2020,2882,female,African,natural
120,ELF0000120,Zimbabwe,Africa,04.12.1993,17.01.2019,3519,female,African,natural
121,ELF0000121,Botswana,Africa,21.03.2021,,6203,male,African,natural
122,ELF0000122,Zimbabwe,Africa,19.09.2013,,7494,male,African,natural
123,ELF0000123,Zimbabwe,Africa,23.10.1999,,4904,male,African,natural
124,ELF0000124,Namibia,Africa,05.08.2016,,1589,female,African,natural
125,ELF0000125,Zambia,Africa,23.12.2012,,1960,female,African,natural
126,ELF0000126,Tanzania,Africa,23.02.1991,01.10.2016,2878,female,African,natural
127,ELF0000127,Kenya,Africa,26.04.2016,,2729,female,African,natural
128,ELF0000128,Botswana,Africa,01.05.1974,30.08.2007,5200,male,African,natural
129,ELF0000129,India,Asia,02.12.2009,,4699,male,Asian,natural
130,ELF0000130,Kenya,Africa,01.01.1995,,3965,female,Asian,natural
131,ELF0000131,Zimbabwe,Africa,24.02.1990,02.02.2014,1920,female,African,natural
132,ELF0000132,Botswana,Africa,05.04.2002,,6189,male,African,natural
133,ELF0000133,Uganda,Africa,31.10.2021,,3614,female,African,natural
134,ELF0000134,Zimbabwe,Africa,07.06.1989,31.05.2013,2163,female,African,natural
135,ELF0000135,Botswana,Africa,12.09.2017,,-50,female,African,natural
136,ELF0000136,Zambia,Africa,07.01.1990,07.09.2019,4088,female,African,natural
137,ELF0000137,Botswana,Africa,05.12.1989,09.07.2016,5126,male,Asian,natural
138,ELF0000138,India,Asia,16.08.2004,,6749,male,Asian,natural
139,ELF0000139,Mozambique,Africa,14.10.1998,11.09.2022,2314,female,African,natural
140,ELF0000140,Botswana,Africa,10.06.1978,10.04.2010,2867,female,Asian,natural
141,ELF0000141,DR Congo,Africa,26.11.1988,21.12.2013,1845,female,African,natural
142,ELF0000142,Zimbabwe,Africa,08.04.1973,18.03.1992,5067,male,African,natural
143,ELF0000143,Botswana,Africa,15.02.1983,03.05.2023,6315,male,African,natural
144,ELF0000144,Zimbabwe,Africa,27.09.1983,28.08.2020,7432,male,African,natural
145,ELF0000145,Namibia,Africa,10.11.2018,,2883,female,African,natural
146,ELF0000146,Tanzania,Africa,04.03.1971,15.03.2002,3887,female,African,natural
147,ELF0000147,Zimbabwe,Africa,08.12.2004,,4623,female,African,natural
148,ELF0000148,India,Asia,08.01.1976,04.02.2003,5378,female,Asian,natural
149,ELF0000149,Botswana,Africa,05.12.2008,,2863,female,African,natural
150,ELF0000150,Zimbabwe,Africa,30.06.2002,,5060,male,African,natural
151,ELF0000151,Namibia,Africa,04.09.2016,,5037,male,African,natural
152,ELF0000152,South Africa,Africa,28.03.1997,,3218,female,African,natural
153,ELF0000153,Kenya,Africa,14.01.2006,,1848,female,African,natural
154,ELF0000154,Botswana,Africa,24.04.1980,29.07.2006,1463,female,African,natural
155,ELF0000155,Botswana,Africa,18.11.1974,03.06.1997,2573,female,African,natural
156,ELF0000156,Kenya,Africa,09.05.2011,,4282,male,African,natural
157,ELF0000157,Nigeria,Africa,05.02.2013,,7814,male,African,natural
158,ELF0000158,Malawi,Africa,21.09.1987,26.09.2017,7839,male,African,natural
159,ELF0000159,Namibia,Africa,11.02.1974,30.01.2009,667,female,African,natural
160,ELF0000160,Mozambique,Africa,19.02.2017,,4108,male,African,natural
161,ELF0000161,Liechtenstein,Europe,27.05.2013,,4372,male,African,zoological garden
162,ELF0000162,Botswana,Africa,01.11.1980,30.10.2005,2630,male,African,natural
163,ELF0000163,Botswana,Africa,10.06.1985,19.07.2014,6461,male,Asian,natural
164,ELF0000164,Zambia,Africa,25.10.1971,29.12.1996,3194,female,African,natural
165,ELF0000165,Zimbabwe,Africa,03.12.1993,09.04.2017,1813,female,African,natural
166,ELF0000166,Zimbabwe,Africa,05.08.2009,,6281,male,African,natural
167,ELF0000167,Zimbabwe,Africa,03.02.2002,,378,male,Asian,natural
168,ELF0000168,Zimbabwe,Africa,28.02.1974,28.09.2007,2793,female,African,natural
169,ELF0000169,South Africa,Africa,06.09.1989,15.11.2019,2387,female,African,natural
170,ELF0000170,Botswana,Africa,25.01.1987,31.10.2021,5286,male,African,natural
171,ELF0000171,Zimbabwe,Africa,15.05.2012,,4408,female,African,natural
172,ELF0000172,Zimbabwe,Africa,08.04.2005,,6735,male,Asian,natural
173,ELF0000173,Botswana,Africa,13.10.1982,22.09.2008,3451,male,African,natural
174,ELF0000174,Zambia,Africa,13.11.2012,,1291,female,African,natural
175,ELF0000175,Namibia,Africa,27.12.1981,05.12.2014,3875,female,African,natural
176,ELF0000176,Botswana,Africa,11.03.1990,29.05.2021,4246,male,African,natural
177,ELF0000177,Zimbabwe,Africa,14.05.1984,19.10.2017,2216,female,African,natural
178,ELF0000178,Botswana,Africa,09.06.1992,16.08.2022,3998,male,African,natural
179,ELF0000179,Namibia,Africa,26.05.2009,,3944,female,African,natural
180,ELF0000180,Tanzania,Africa,23.12.1986,,5640,female,African,natural
181,ELF0000181,Zimbabwe,Africa,03.08.1998,18.08.2018,3213,female,African,natural
182,ELF0000182,India,Asia,13.04.1998,17.02.2021,4611,male,Asian,natural
183,ELF0000183,South Africa,Africa,05.08.2001,,4750,male,African,natural
184,ELF0000184,Zimbabwe,Africa,11.09.1986,12.11.2008,5677,male,African,natural
185,ELF0000185,Namibia,Africa,18.02.1996,27.02.2020,6529,male,African,natural
186,ELF0000186,Kenya,Africa,07.09.2020,,2909,female,African,natural
187,ELF0000187,Zimbabwe,Africa,11.03.1988,22.02.2021,588,female,African,natural
188,ELF0000188,Namibia,Africa,04.10.1985,26.07.2009,3945,female,African,natural
189,ELF0000189,Botswana,Africa,28.06.1971,08.01.2008,4823,male,African,natural
190,ELF0000190,Zimbabwe,Africa,07.09.1999,,3205,female,African,natural
191,ELF0000191,Kenya,Africa,25.04.1977,28.11.2010,2785,female,African,natural
192,ELF0000192,India,Asia,03.10.2003,,1766,female,Asian,natural
193,ELF0000193,Angola,Africa,08.01.2007,,6862,male,African,natural
194,ELF0000194,Botswana,Africa,25.07.1977,22.01.2002,2287,female,African,natural
195,ELF0000195,Botswana,Africa,08.11.2010,,4424,male,African,natural
196,ELF0000196,Tanzania,Africa,08.04.2015,,2462,female,African,natural
197,ELF0000197,Botswana,Africa,21.11.1981,22.02.2007,6052,male,African,natural
198,ELF0000198,Tanzania,Africa,21.04.1995,,7111,male,African,natural
199,ELF0000199,Botswana,Africa,30.12.1971,12.08.1998,4932,male,African,natural
200,ELF0000200,Botswana,Africa,23.11.1991,,-60,female,African,natural
201,ELF0000201,Myanmar,Asia,29.04.1980,13.07.2002,1713,female,African,natural
202,ELF0000202,Namibia,Africa,19.07.2012,,3942,male,African,natural
203,ELF0000203,Kenya,Africa,05.07.2004,,6512,male,African,natural
204,ELF0000204,India,Asia,04.11.1992,,5783,male,Asian,natural
205,ELF0000205,Zimbabwe,Africa,14.10.1989,05.07.2018,3583,female,African,natural
206,ELF0000206,Botswana,Africa,26.09.1992,18.06.2019,2910,female,African,natural
207,ELF0000207,South Africa,Africa,25.07.2002,,2113,female,African,natural
208,ELF0000208,Botswana,Africa,10.06.2006,,3589,male,African,natural
209,ELF0000209,Botswana,Africa,21.07.1972,24.09.2010,5584,male,African,natural
210,ELF0000210,Zimbabwe,Africa,05.06.1986,07.04.2013,2838,male,African,natural
211,ELF0000211,Zimbabwe,Africa,04.08.1998,,5580,male,African,natural
212,ELF0000212,Zimbabwe,Africa,03.07.1978,15.11.2004,2309,male,African,natural
